session_date,traffic_medium,total_sessions,total_transactions,total_revenue,conversion_rate,revenue_7day_avg
2017-07-01,(none),236,0.0,0.0,0.0,0.0
2017-07-02,(none),353,1.0,27.18,0.28,13.59
2017-07-03,(none),307,5.0,389.74,1.63,138.97
2017-07-04,(none),365,6.0,395.46,1.64,203.1
2017-07-05,(none),1769,32.0,7598.47,1.81,1682.17
2017-07-06,(none),1120,31.0,2811.6,2.77,1870.41
2017-07-07,(none),705,28.0,3777.31,3.97,2142.82
2017-07-08,(none),479,10.0,371.55,2.09,2195.9
2017-07-09,(none),425,5.0,141.35,1.18,2212.21
2017-07-10,(none),800,29.0,3320.16,3.62,2630.84
2017-07-11,(none),783,24.0,3518.18,3.07,3076.95
2017-07-12,(none),714,32.0,1873.53,4.48,2259.1
2017-07-13,(none),713,42.0,5698.16,5.89,2671.46
2017-07-14,(none),764,34.0,3146.18,4.45,2581.3
2017-07-15,(none),355,13.0,563.51,3.66,2608.72
2017-07-16,(none),361,13.0,534.51,3.6,2664.89
2017-07-17,(none),742,32.0,3126.35,4.31,2637.2
2017-07-18,(none),795,34.0,15596.74,4.28,4362.71
2017-07-19,(none),703,30.0,4342.86,4.27,4715.47
2017-07-20,(none),722,28.0,2860.9,3.88,4310.15
2017-07-21,(none),766,25.0,2534.12,3.26,4222.71
2017-07-22,(none),377,13.0,1140.12,3.45,4305.09
2017-07-23,(none),343,6.0,2463.42,1.75,4580.64
2017-07-24,(none),770,28.0,2957.41,3.64,4556.51
2017-07-25,(none),665,23.0,3623.65,3.46,2846.07
2017-07-26,(none),785,25.0,3154.97,3.18,2676.37
2017-07-27,(none),690,29.0,3055.02,4.2,2704.1
2017-07-28,(none),710,35.0,3796.56,4.93,2884.45
2017-07-29,(none),377,9.0,642.22,2.39,2813.32
2017-07-30,(none),306,10.0,1588.55,3.27,2688.34
2017-07-31,(none),712,42.0,6314.76,5.9,3167.96
2017-08-01,(none),178,10.0,1966.39,5.62,2931.21
2017-07-22,(not set),1,0.0,0.0,0.0,0.0
2017-07-01,affiliate,13,0.0,0.0,0.0,0.0
2017-07-02,affiliate,12,0.0,0.0,0.0,0.0
2017-07-03,affiliate,47,0.0,0.0,0.0,0.0
2017-07-04,affiliate,73,0.0,0.0,0.0,0.0
2017-07-05,affiliate,62,0.0,0.0,0.0,0.0
2017-07-06,affiliate,85,0.0,0.0,0.0,0.0
2017-07-07,affiliate,98,1.0,233.85,1.02,33.41
2017-07-08,affiliate,47,0.0,0.0,0.0,33.41
2017-07-09,affiliate,79,0.0,0.0,0.0,33.41
2017-07-10,affiliate,127,0.0,0.0,0.0,33.41
2017-07-11,affiliate,148,0.0,0.0,0.0,33.41
2017-07-12,affiliate,92,0.0,0.0,0.0,33.41
2017-07-13,affiliate,73,2.0,232.87,2.74,66.67
2017-07-14,affiliate,90,0.0,0.0,0.0,33.27
2017-07-15,affiliate,37,0.0,0.0,0.0,33.27
2017-07-16,affiliate,19,0.0,0.0,0.0,33.27
2017-07-17,affiliate,58,0.0,0.0,0.0,33.27
2017-07-18,affiliate,58,0.0,0.0,0.0,33.27
2017-07-19,affiliate,56,1.0,20.99,1.79,36.27
2017-07-20,affiliate,63,0.0,0.0,0.0,3.0
2017-07-21,affiliate,67,0.0,0.0,0.0,3.0
2017-07-22,affiliate,23,0.0,0.0,0.0,3.0
2017-07-23,affiliate,31,0.0,0.0,0.0,3.0
2017-07-24,affiliate,55,0.0,0.0,0.0,3.0
2017-07-25,affiliate,37,0.0,0.0,0.0,3.0
2017-07-26,affiliate,49,0.0,0.0,0.0,0.0
2017-07-27,affiliate,42,0.0,0.0,0.0,0.0
2017-07-28,affiliate,43,0.0,0.0,0.0,0.0
2017-07-29,affiliate,27,0.0,0.0,0.0,0.0
2017-07-30,affiliate,27,0.0,0.0,0.0,0.0
2017-07-31,affiliate,39,0.0,0.0,0.0,0.0
2017-08-01,affiliate,11,0.0,0.0,0.0,0.0
2017-07-01,cpc,60,0.0,0.0,0.0,0.0
2017-07-02,cpc,86,1.0,31.48,1.16,15.74
2017-07-03,cpc,123,0.0,0.0,0.0,10.49
2017-07-04,cpc,81,0.0,0.0,0.0,7.87
2017-07-05,cpc,21,0.0,0.0,0.0,6.3
2017-07-06,cpc,49,0.0,0.0,0.0,5.25
2017-07-07,cpc,49,1.0,29.98,2.04,8.78
2017-07-08,cpc,68,0.0,0.0,0.0,8.78
2017-07-09,cpc,58,1.0,163.03,1.72,27.57
2017-07-10,cpc,60,1.0,39.87,1.67,33.27
2017-07-11,cpc,69,1.0,96.76,1.45,47.09
2017-07-12,cpc,65,5.0,249.18,7.69,82.69
2017-07-13,cpc,78,5.0,199.44,6.41,111.18
2017-07-14,cpc,71,1.0,109.99,1.41,122.61
2017-07-15,cpc,47,0.0,0.0,0.0,122.61
2017-07-16,cpc,49,2.0,58.96,4.08,107.74
2017-07-17,cpc,41,0.0,0.0,0.0,102.05
2017-07-18,cpc,84,2.0,26.77,2.38,92.05
2017-07-19,cpc,55,3.0,68.97,5.45,66.3
2017-07-20,cpc,78,4.0,372.73,5.13,91.06
2017-07-21,cpc,80,4.0,436.36,5.0,137.68
2017-07-22,cpc,47,2.0,126.89,4.26,155.81
2017-07-23,cpc,59,0.0,0.0,0.0,147.39
2017-07-24,cpc,58,2.0,862.55,3.45,270.61
2017-07-25,cpc,64,1.0,25.27,1.56,270.4
2017-07-26,cpc,87,1.0,7.5,1.15,261.61
2017-07-27,cpc,55,3.0,169.0,5.45,232.51
2017-07-28,cpc,54,2.0,104.44,3.7,185.09
2017-07-29,cpc,64,3.0,143.85,4.69,187.52
2017-07-30,cpc,51,2.0,63.08,3.92,196.53
2017-07-31,cpc,72,1.0,27.6,1.39,77.25
2017-08-01,cpc,26,0.0,0.0,0.0,73.64
2017-07-01,cpm,1,0.0,0.0,0.0,0.0
2017-07-02,cpm,6,1.0,15.19,16.67,7.6
2017-07-03,cpm,11,0.0,0.0,0.0,5.06
2017-07-04,cpm,4,0.0,0.0,0.0,3.8
2017-07-05,cpm,14,0.0,0.0,0.0,3.04
2017-07-06,cpm,9,0.0,0.0,0.0,2.53
2017-07-07,cpm,10,0.0,0.0,0.0,2.17
2017-07-08,cpm,4,0.0,0.0,0.0,2.17
2017-07-09,cpm,10,0.0,0.0,0.0,0.0
2017-07-10,cpm,33,0.0,0.0,0.0,0.0
2017-07-11,cpm,32,2.0,189.84,6.25,27.12
2017-07-12,cpm,26,1.0,15.99,3.85,29.4
2017-07-13,cpm,43,1.0,28.78,2.33,33.52
2017-07-14,cpm,34,2.0,157.32,5.88,55.99
2017-07-15,cpm,11,0.0,0.0,0.0,55.99
2017-07-16,cpm,9,0.0,0.0,0.0,55.99
2017-07-17,cpm,41,2.0,0.99,4.88,56.13
2017-07-18,cpm,34,1.0,182.18,2.94,55.04
2017-07-19,cpm,38,1.0,282.0,2.63,93.04
2017-07-20,cpm,21,0.0,0.0,0.0,88.93
2017-07-21,cpm,50,3.0,167.78,6.0,90.42
2017-07-22,cpm,12,1.0,303.41,8.33,133.77
2017-07-23,cpm,12,0.0,0.0,0.0,133.77
2017-07-24,cpm,37,0.0,0.0,0.0,133.62
2017-07-25,cpm,19,0.0,0.0,0.0,107.6
2017-07-26,cpm,31,3.0,62.6,9.68,76.26
2017-07-27,cpm,29,2.0,165.09,6.9,99.84
2017-07-28,cpm,25,1.0,33.76,4.0,80.69
2017-07-29,cpm,17,0.0,0.0,0.0,37.35
2017-07-30,cpm,14,0.0,0.0,0.0,37.35
2017-07-31,cpm,42,0.0,0.0,0.0,37.35
2017-08-01,cpm,8,0.0,0.0,0.0,37.35
2017-07-01,organic,838,2.0,37.57,0.24,37.57
2017-07-02,organic,962,4.0,534.44,0.42,286.01
