customer_id,age,gender,contract_type,monthly_spend,tenure_months,num_complaints,last_login_days_ago,num_products,email_engagement,support_calls,churned,churn_probability,complaint_group
2001,41,Male,Monthly,168.93,57,0,100,1,0.8,6,0,0.393,No Complaints
2002,49,Female,Quarterly,28.04,42,2,118,3,0.77,0,0,0.402,1-2 Complaints
2003,38,Male,Monthly,190.01,18,2,12,2,0.79,8,0,0.387,1-2 Complaints
2004,38,Male,Monthly,69.1,1,0,114,1,0.54,4,0,0.538,No Complaints
2005,61,Male,Annual,38.01,42,3,45,2,0.18,1,0,0.423,3+ Complaints
2006,55,Female,Monthly,45.0,21,5,113,4,0.93,1,1,0.579,3+ Complaints
2007,42,Female,Annual,48.26,5,5,15,2,0.6,6,0,0.493,3+ Complaints
2008,49,Male,Quarterly,88.19,39,2,60,2,0.09,2,0,0.452,1-2 Complaints
2009,50,Male,Quarterly,92.05,22,0,43,2,0.28,8,0,0.417,No Complaints
2010,57,Female,Monthly,101.5,59,3,102,3,0.65,1,0,0.469,3+ Complaints
2011,62,Male,Annual,150.04,27,1,1,2,0.03,1,0,0.306,1-2 Complaints
2012,37,Male,Monthly,192.47,3,1,96,4,0.1,2,1,0.595,1-2 Complaints
2013,50,Female,Monthly,135.68,16,1,26,4,0.34,6,0,0.44,1-2 Complaints
2014,54,Male,Monthly,199.94,29,0,61,4,0.37,0,0,0.355,No Complaints
2015,54,Female,Quarterly,117.39,19,1,83,4,0.16,0,0,0.449,1-2 Complaints
2016,32,Female,Monthly,182.4,28,1,13,3,0.11,4,0,0.408,1-2 Complaints
2017,33,Male,Annual,159.54,46,3,114,4,0.48,5,1,0.56,3+ Complaints
2018,28,Male,Quarterly,164.78,40,0,37,4,0.87,0,0,0.136,No Complaints
2019,25,Male,Monthly,149.66,29,0,27,1,0.64,1,0,0.245,No Complaints
2020,53,Male,Annual,77.17,20,2,13,2,0.91,1,0,0.207,1-2 Complaints
2021,19,Female,Monthly,169.45,27,3,57,2,0.72,6,0,0.49,3+ Complaints
2022,29,Female,Annual,133.62,41,1,43,1,0.55,7,0,0.356,1-2 Complaints
2023,35,Male,Monthly,114.74,31,4,119,3,0.94,6,1,0.608,3+ Complaints
2024,24,Female,Quarterly,155.14,38,5,51,3,0.73,3,0,0.442,3+ Complaints
2025,38,Female,Annual,32.21,52,5,113,3,0.01,5,1,0.722,3+ Complaints
2026,55,Female,Monthly,170.34,7,3,86,2,0.45,5,1,0.622,3+ Complaints
2027,51,Male,Monthly,117.08,6,5,6,1,0.17,6,1,0.608,3+ Complaints
2028,58,Female,Monthly,124.54,41,3,45,1,0.17,9,1,0.596,3+ Complaints
2029,19,Female,Monthly,71.29,14,3,117,1,0.09,7,1,0.777,3+ Complaints
2030,60,Male,Annual,158.27,16,1,32,3,0.59,0,0,0.262,1-2 Complaints
2031,22,Female,Quarterly,163.18,11,5,72,4,0.67,7,1,0.603,3+ Complaints
2032,47,Female,Monthly,158.6,40,3,34,1,0.23,1,0,0.443,3+ Complaints
2033,59,Male,Quarterly,197.6,38,3,10,2,0.19,3,0,0.385,3+ Complaints
2034,46,Male,Quarterly,29.53,54,1,42,1,0.92,3,0,0.198,1-2 Complaints
2035,18,Female,Annual,133.83,25,0,69,3,0.66,5,0,0.345,No Complaints
2036,46,Male,Annual,161.74,5,0,94,1,0.28,8,1,0.552,No Complaints
2037,58,Female,Monthly,115.83,45,0,108,3,0.23,1,0,0.469,No Complaints
2038,43,Male,Monthly,44.89,36,0,103,4,0.52,5,0,0.476,No Complaints
2039,55,Male,Monthly,30.77,43,1,76,1,0.8,0,0,0.317,1-2 Complaints
2040,29,Male,Monthly,158.04,19,0,3,4,0.83,1,0,0.174,No Complaints
2041,21,Female,Monthly,27.89,46,5,23,4,0.88,8,0,0.465,3+ Complaints
2042,36,Female,Monthly,152.5,18,2,119,3,0.89,8,1,0.59,1-2 Complaints
2043,54,Male,Monthly,186.53,30,5,92,1,0.31,4,1,0.69,3+ Complaints
2044,39,Male,Annual,126.3,38,0,60,1,0.81,8,0,0.32,No Complaints
2045,40,Male,Monthly,24.13,45,3,69,3,0.7,3,0,0.444,3+ Complaints
2046,63,Female,Monthly,48.48,1,3,117,2,0.29,6,1,0.744,3+ Complaints
2047,32,Female,Monthly,56.78,45,3,50,4,0.77,1,0,0.36,3+ Complaints
2048,62,Female,Monthly,131.57,11,0,114,1,0.97,1,0,0.39,No Complaints
2049,55,Female,Quarterly,198.33,59,2,42,3,0.31,4,0,0.367,1-2 Complaints
2050,44,Female,Monthly,43.43,25,3,45,4,0.38,7,1,0.551,3+ Complaints
2051,35,Female,Monthly,169.19,44,3,59,1,0.19,3,0,0.527,3+ Complaints
2052,52,Female,Quarterly,37.05,21,3,107,1,0.38,1,1,0.547,3+ Complaints
2053,43,Male,Monthly,110.79,54,3,98,1,0.26,3,1,0.577,3+ Complaints
2054,22,Male,Annual,160.67,7,5,1,3,0.56,6,0,0.468,3+ Complaints
2055,62,Male,Monthly,66.49,54,5,45,3,0.72,0,0,0.41,3+ Complaints
2056,53,Male,Annual,71.91,32,1,91,3,0.67,9,0,0.477,1-2 Complaints
2057,27,Female,Annual,136.09,12,1,47,2,0.77,7,0,0.369,1-2 Complaints
2058,42,Male,Monthly,20.96,43,0,22,3,0.9,7,0,0.249,No Complaints
2059,36,Female,Annual,75.11,37,2,27,3,0.7,9,0,0.37,1-2 Complaints
2060,64,Female,Quarterly,129.28,53,3,95,4,0.0,9,1,0.665,3+ Complaints
2061,50,Female,Annual,164.36,44,1,71,1,0.83,5,0,0.324,1-2 Complaints
2062,25,Female,Monthly,181.71,26,2,87,4,0.39,9,1,0.625,1-2 Complaints
2063,39,Male,Quarterly,179.03,41,3,62,3,0.64,6,0,0.443,3+ Complaints
2064,37,Female,Quarterly,199.35,31,5,93,4,0.33,7,1,0.681,3+ Complaints
2065,61,Male,Monthly,110.99,45,3,74,4,0.33,7,1,0.588,3+ Complaints
