customer_id,age,gender,country,total_spent,num_purchases,last_purchase_days_ago,email_open_rate,channel,segment
1001,56,Male,France,82.14,23,91,0.26,Paid Social,Potential
1002,46,Female,Germany,488.58,16,18,0.42,Email,Champion
1003,32,Female,Hungary,86.4,3,149,0.6,Paid Social,Potential
1004,60,Female,Poland,604.13,25,227,0.51,Organic,At Risk
1005,25,Male,Germany,350.57,22,214,0.29,Organic,At Risk
1006,38,Male,Germany,408.57,9,360,0.01,Paid Social,At Risk
1007,56,Male,Hungary,4.54,29,151,0.5,Paid Social,Potential
1008,36,Male,Austria,822.93,15,192,0.29,Organic,At Risk
1009,40,Male,France,324.27,5,40,0.73,Paid Social,Champion
1010,28,Male,Hungary,90.87,23,242,0.02,Paid Social,Lost
1011,28,Male,Hungary,442.1,13,138,0.58,Organic,Champion
1012,41,Male,France,82.65,14,345,0.94,Paid Social,Lost
1013,53,Female,France,515.41,20,180,0.17,Organic,Champion
1014,57,Female,Hungary,29.86,15,200,0.47,Referral,Lost
1015,41,Male,Poland,304.08,16,203,0.09,Referral,At Risk
1016,20,Male,Hungary,194.51,23,61,0.63,Email,Champion
1017,39,Female,Germany,25.38,13,192,0.55,Organic,Lost
1018,19,Male,Poland,69.23,17,5,0.41,Email,Potential
1019,41,Male,Germany,3.12,23,237,0.52,Email,Lost
1020,61,Male,France,158.14,8,181,0.9,Email,Potential
1021,47,Female,Hungary,89.62,21,311,0.2,Organic,Lost
1022,55,Female,Hungary,228.05,2,37,0.02,Email,Champion
1023,19,Female,Poland,88.18,5,56,0.86,Email,Potential
1024,38,Female,Germany,89.14,6,237,0.58,Paid Social,Lost
1025,50,Female,Austria,339.86,12,358,0.89,Email,At Risk
1026,29,Male,Hungary,12.34,18,349,0.6,Paid Social,Lost
1027,39,Female,Hungary,582.99,22,197,0.81,Paid Social,At Risk
1028,61,Male,Hungary,478.08,22,73,0.43,Organic,Champion
1029,42,Male,France,275.51,1,59,0.75,Email,Champion
1030,44,Female,Hungary,224.87,17,240,0.91,Organic,At Risk
1031,59,Female,Austria,557.11,11,2,0.57,Paid Social,Champion
1032,45,Male,Germany,51.24,10,360,0.18,Organic,Lost
1033,33,Male,Poland,20.57,19,188,0.27,Paid Social,Lost
1034,32,Male,Hungary,68.45,14,307,0.2,Organic,Lost
1035,64,Female,Austria,395.67,26,30,0.25,Email,Champion
1036,61,Female,Austria,8.82,10,267,0.31,Email,Lost
1037,20,Female,Austria,218.55,15,108,0.56,Organic,Champion
1038,54,Female,Austria,1347.47,28,332,0.59,Organic,At Risk
1039,24,Female,Austria,483.96,19,90,0.43,Organic,Champion
1040,38,Male,France,184.25,4,205,0.62,Referral,At Risk
1041,26,Female,Hungary,16.44,2,220,0.08,Paid Social,Lost
1042,56,Male,Hungary,445.02,9,94,0.09,Paid Social,Champion
1043,35,Male,Poland,228.44,10,103,0.17,Organic,Champion
1044,21,Male,France,30.52,28,223,0.52,Email,Lost
1045,42,Female,Austria,24.64,11,186,0.21,Referral,Potential
1046,31,Female,Germany,600.95,14,184,0.28,Email,Champion
1047,26,Female,Hungary,276.56,7,162,0.4,Email,Champion
1048,43,Male,Hungary,441.94,23,247,0.81,Organic,At Risk
1049,19,Male,France,527.95,15,31,0.01,Organic,Champion
1050,37,Male,Germany,212.03,22,52,0.65,Organic,Champion
1051,45,Male,Hungary,182.17,19,345,0.67,Organic,At Risk
1052,64,Male,Germany,140.72,22,76,0.8,Organic,Potential
1053,24,Male,Hungary,95.3,15,278,0.93,Organic,Lost
1054,61,Female,Germany,142.55,28,40,0.02,Paid Social,Potential
1055,25,Female,Hungary,371.67,24,101,0.15,Referral,Champion
1056,64,Female,Austria,230.28,8,111,0.89,Email,Champion
1057,52,Female,Hungary,557.62,11,321,0.46,Email,At Risk
1058,31,Male,Germany,146.47,29,249,0.56,Email,Lost
1059,34,Male,Hungary,233.54,9,191,0.66,Organic,At Risk
1060,53,Female,Hungary,249.45,15,182,0.68,Email,Champion
1061,57,Male,Hungary,223.94,1,335,0.93,Organic,At Risk
1062,21,Female,Germany,303.2,1,209,1.0,Email,At Risk
1063,19,Female,France,67.77,19,22,0.72,Paid Social,Potential
1064,23,Female,Hungary,179.55,3,166,0.29,Referral,Champion
1065,59,Male,France,27.52,10,99,0.88,Organic,Potential
1066,21,Female,Austria,121.33,8,208,0.05,Organic,Lost
1067,46,Female,Austria,167.2,15,8,0.23,Referral,Potential
1068,35,Female,Hungary,264.05,10,190,0.9,Organic,At Risk
1069,43,Male,Germany,751.6,1,175,0.26,Email,Champion
1070,61,Male,Hungary,229.48,29,273,0.22,Email,At Risk
1071,51,Female,Hungary,340.25,18,17,0.14,Email,Champion
1072,27,Male,Poland,176.44,2,90,0.86,Referral,Champion
1073,53,Male,Hungary,251.35,19,141,0.5,Referral,Champion
1074,31,Male,Germany,18.39,13,145,0.67,Organic,Potential
1075,48,Male,France,73.39,22,166,0.24,Email,Potential
1076,32,Male,France,112.3,1,337,0.76,Email,Lost
1077,25,Male,Germany,159.9,2,78,0.76,Email,Potential
1078,31,Male,Hungary,11.68,29,262,0.31,Organic,Lost
1079,40,Male,Hungary,37.71,16,163,0.41,Email,Potential
1080,57,Male,Germany,81.02,15,14,0.21,Referral,Potential
1081,38,Male,Hungary,889.75,13,239,0.98,Referral,At Risk
1082,33,Female,Hungary,100.62,16,72,0.65,Paid Social,Potential
1083,62,Female,Hungary,164.46,17,143,0.93,Organic,Potential
